Entrada,Fecha Entrada,En proceso,Salida,Fecha Salida
48575443033BD3A6,02-jul-25,48575443033BD3A6,485754437FB914A4,01/07/2025
48575443033DA2A6,02-jul-25,48575443033DA2A6,485754436B0205A5,01/07/2025
485754430341D8A6,02-jul-25,485754430341D8A6,48575443FB8447A6,01/07/2025
485754430346DEA6,02-jul-25,485754430346DEA6,4857544314A7B59F,01/07/2025
48575443034874A6,02-jul-25,48575443034874A6,485754430F7A9CA1,01/07/2025
48575443038546A6,02-jul-25,48575443038546A6,48575443CC6726A8,01/07/2025
4857544303855FA6,02-jul-25,4857544303855FA6,485754437ED291A3,01/07/2025
48575443038BEAA6,02-jul-25,48575443038BEAA6,48575443E27491A3,01/07/2025
4857544303CC7CA3,02-jul-25,4857544303CC7CA3,485754437FA0F1A4,01/07/2025
4857544303CCC7A3,02-jul-25,4857544303CCC7A3,48575443F26B8AA4,01/07/2025
4857544303D081A3,02-jul-25,4857544303D081A3,485754430F79C5A1,01/07/2025
4857544303D095A3,02-jul-25,4857544303D095A3,485754430F760F9F,01/07/2025
4857544304F7D29F,02-jul-25,4857544304F7D29F,48575443A55FC3A8,01/07/2025
4857544304F8B69F,02-jul-25,4857544304F8B69F,485754431CEA5AA5,01/07/2025
4857544304FA839F,02-jul-25,4857544304FA839F,485754438DA2B79F,01/07/2025
4857544304FAA49F,02-jul-25,4857544304FAA49F,48575443821DF6A5,01/07/2025
485754431CCC91A5,02-jul-25,485754431CCC91A5,48575443B9D98DA3,01/07/2025
485754431CE043A5,02-jul-25,485754431CE043A5,4857544346AE13A5,01/07/2025
485754431CEE0FA5,02-jul-25,485754431CEE0FA5,4857544345E2BDA7,01/07/2025
485754431CEECAA5,02-jul-25,485754431CEECAA5,48575443A2496BA8,01/07/2025
485754431CF0E8A5,02-jul-25,485754431CF0E8A5,48575443448758A7,01/07/2025
485754431CF5A6A5,02-jul-25,485754431CF5A6A5,485754436C8711A6,01/07/2025
485754431CFAD5A5,02-jul-25,485754431CFAD5A5,48575443F28BFFA2,01/07/2025
485754431CFBC4A5,02-jul-25,485754431CFBC4A5,48575443E7E568A6,01/07/2025
485754431D00AAA5,02-jul-25,485754431D00AAA5,485754432BAF7CA0,01/07/2025
485754431D0DEFA5,02-jul-25,485754431D0DEFA5,485754434BDCD1A7,01/07/2025
485754431D0F3AA5,02-jul-25,485754431D0F3AA5,485754430E2324A3,01/07/2025
485754431D24D3A5,02-jul-25,485754431D24D3A5,48575443B10897A8,01/07/2025
485754431D29DAA5,02-jul-25,485754431D29DAA5,4857544345DB7CA7,01/07/2025
485754431D2C53A5,02-jul-25,485754431D2C53A5,48575443B8D90FA0,01/07/2025
485754431D30D1A5,02-jul-25,485754431D30D1A5,48575443A5D26CA8,01/07/2025
485754431D33A9A5,02-jul-25,485754431D33A9A5,485754436066EAA5,01/07/2025
485754431D33FFA5,02-jul-25,485754431D33FFA5,48575443837CB9A5,01/07/2025
485754431D3476A5,02-jul-25,485754431D3476A5,4857544382A36AA5,01/07/2025
485754431D46A3A5,02-jul-25,485754431D46A3A5,485754431BB0EFA7,01/07/2025
485754431E5080A6,02-jul-25,485754431E5080A6,48575443606106A5,01/07/2025
485754431E515EA6,02-jul-25,485754431E515EA6,4857544315A750A1,01/07/2025
